Sid,Response,Without_Limit_Prompt_Without_Competition_Without_Limit_Return,Without_Limit_Prompt_Without_Competition_With_Limit_Return,Without_Limit_Prompt_With_Competition_Without_Limit_Return,Without_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
19079,"[
     {
         ""sid"": ""19079"",
         ""Technique ID"": ""T1203"",
         ""Technique name"": ""Exploitation for Client Execution"",
         ""Quotes"": ""Adversaries may exploit software vulnerabilities in client applications to execute code."",
         ""Explanation"": ""This rule looks for a specific exploit in Microsoft Internet Explorer that could be used to execute code in the context of the user.""
     }
 ][
     ""sid"": ""19079"",
     ""Technique ID"": ""T1203"",
     ""Technique name"": ""Exploitation for Client Execution"",
     ""Quotes"": [""Adversaries may exploit software vulnerabilities in client applications to execute code""],
     ""Explanation"": ""This event is generated when an HTTP packet is detected that is consistent with attempting to exploit an undisclosed vulnerability in Microsoft Internet Explorer.""
 ][
   {
     ""sid"": ""19079"",
     ""Technique ID"": ""T1203"",
     ""Technique name"": ""Exploitation for Client Execution"",
     ""Quotes"": ""Adversaries may exploit software vulnerabilities in client applications to execute code."",
     ""Explanation"": ""This rule detects attempts to exploit a vulnerability in Microsoft Internet Explorer's getElementById() function, which could allow an attacker to execute arbitrary code on the target system.""
   }
 ]","['T1105', 'T1189', 'T1204', 'T1190', 'T1113', 'T1203', 'T1217']","['T1189', 'T1204']",['T1203'],['T1203'],['T1176']
58724,"[
     {
         ""sid"": ""58724"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's 'JNDI' functionality.""
     }
 ]
 {}
 [
         ""sid"": ""58724"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's \""JNDI\"" functionality.""
     ]",['T1190'],['T1190'],['T1190'],['T1190'],['T1190']
37390,"[
   {
     ""sid"": ""37390"",
     ""Technique ID"": ""T1110"",
     ""Technique name"": ""Brute Force"",
     ""Quotes"": [
       ""Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained""
     ],
     ""Explanation"": ""This rule looks for login attempts using the default password for Rockwell Automation devices, which is a common brute-force technique.""
   }
 ][
     {
         ""sid"": ""37390"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Brute Force"",
         ""Quotes"": [""Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained""],
         ""Explanation"": ""This rule detects attempts to log in to a Rockwell Automation device using default credentials, which is a common brute-force attack technique.""
     }
 ][
         ""sid"": ""37390"",
         ""Technique ID"": ""T1585"",
         ""Technique name"": ""Establish Accounts"",
         ""Quotes"": ""Adversaries may create and cultivate accounts with services that can be used during targeting."",
         ""Explanation"": ""The rule matches attempts to log in to a Rockwell Automation server with the default password.""
     ]","['T1110', 'T1585']",['T1110'],"['T1110', 'T1585']","['T1110', 'T1585']",['T1078']
27538,"[
   {
     ""sid"": ""27538"",
     ""Technique ID"": ""T1078"",
     ""Technique name"": ""Valid Accounts"",
     ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"",
     ""Explanation"": ""The rule detects self-signed SSL certificates with a default \""MyCompany Ltd\"" organization name, which may indicate the presence of malicious actors using a valid account to gain initial access to the network.""
   }
 ][
   {
     ""sid"": ""27538"",
     ""Technique ID"": ""T1078"",
     ""Technique Name"": ""Valid Accounts"",
     ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"",
     ""Explanation"": ""This rule detects the use of a self-signed SSL certificate with a default organization name, which could indicate an attempt to impersonate a legitimate server and gain access to sensitive information.""
   }
 ][
   ""sid"": ""27538"",
   ""Technique ID"": ""T1078"",
   ""Technique name"": ""Valid Accounts"",
   ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"",
   ""Explanation"": ""This rule detects self-signed SSL certificates with a default organization name, which may indicate an attacker attempting to impersonate a legitimate entity.""
 ]","['T1078', 'T1133', 'T1211']","['T1078', 'T1133']",['T1078'],['T1078'],['T1078']
26353,"[
   {
     ""sid"": ""26353"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network"",
     ""Explanation"": ""This rule detects an HTTP request to checkip.dyndns.org, which is commonly used by malware to determine its external IP address. This information can be used by the malware to establish a covert communication channel with a remote server.""
   }
 ][
         ""sid"": ""26353"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule looks for HTTP requests to a specific domain that may be used to check the public IP address of the system making the request.""
     ]{}","['T1190', 'T1197', 'T1124', 'T1588', 'T1654', 'T1195', 'T1557', 'T1133']","['T1190', 'T1197']",['T1190'],['T1190'],['T1043']
1809,"
 {}
 [
   {
     ""sid"": ""1809"",
     ""Technique ID"": ""T1491"",
     ""Technique Name"": ""Defacement"",
     ""Quotes"": ""Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content."",
     ""Explanation"": ""This rule detects an attempt to exploit a remote code execution vulnerability in Apache's mod_deflate module by sending a malicious HTTP request. Successful exploitation could allow an attacker to execute arbitrary code on the target server, which could lead to website defacement.""
   },
   {
     ""sid"": ""1809"",
     ""Technique ID"": ""T1499"",
     ""Technique Name"": ""Endpoint Denial of Service"",
     ""Quotes"": ""Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users."",
     ""Explanation"": ""This rule detects an attempt to exploit a remote code execution vulnerability in Apache's mod_deflate module by sending a malicious HTTP request. Successful exploitation could allow an attacker to execute arbitrary code on the target server, which could lead to a denial of service attack.""
   }
 ][
     ""sid"": ""1809"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""The alert may indicate an attempt to exploit a vulnerability in an Apache web server using a chunked-encoding worm.""
 ]","['T1190', 'T1491', 'T1499', 'T1580']",['T1190'],"['T1491', 'T1499', 'T1190']","['T1491', 'T1499']",['T1190']
50954,"[
         ""sid"": ""50954"",
         ""Technique ID"": ""T1573"",
         ""Technique name"": ""Encrypted Channel"",
         ""Quotes"": ""adversaries may employ a known encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol"",
         ""Explanation"": ""This rule is used to detect the presence of a backdoor or a command-and-control channel. It is triggered when a certain string is found in an HTTP header. The string is likely part of an encrypted message that is used to communicate with the backdoor or the command-and-control server. Therefore, the 'Encrypted Channel' technique is relevant to this rule.""
     ][
         ""sid"": ""50954"",
         ""Technique ID"": ""T1133"",
         ""Technique name"": ""External Remote Services"",
         ""Quotes"": ""Adversaries may leverage external-facing remote services to initially access and/or persist within a network."",
         ""Explanation"": ""This rule detects communication with a known external backdoor server.""
     ]
 {}
 ","['T1041', 'T1071', 'T1040', 'T1105', 'T1490', 'T1059', 'T1190', 'T1104', 'T1573', 'T1133']","['T1071', 'T1059']","['T1573', 'T1133']","['T1573', 'T1133']",['T1505']
35110,"[
   {
     ""sid"": ""35110"",
     ""Technique ID"": ""T1140"",
     ""Technique name"": ""Deobfuscate/Decode Files or Information"",
     ""Quotes"": ""Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis"",
     ""Explanation"": ""The rule detects an obfuscated Flash action script class name associated with the Angler exploit kit, suggesting an attempt to evade detection and execute malicious code.""
   },
   {
     ""sid"": ""35110"",
     ""Technique ID"": ""T1203"",
     ""Technique name"": ""Exploitation for Client Execution"",
     ""Quotes"": ""Adversaries may exploit software vulnerabilities in client applications to execute code"",
     ""Explanation"": ""The Angler exploit kit is known for targeting vulnerabilities in web browsers and Flash plugins to execute malicious code on client systems.""
   }
 ][
   {
     ""sid"": ""35110"",
     ""Technique ID"": ""T1140"",
     ""Technique name"": ""Deobfuscate/Decode Files or Information"",
     ""Quotes"": ""Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis"",
     ""Explanation"": ""This rule detects obfuscated Flash actionscript classname that is often used by Angler exploit kit""
   }
 ][
     {
         ""sid"": ""35110"",
         ""Technique ID"": ""T1140"",
         ""Technique name"": ""Deobfuscate/Decode Files or Information"",
         ""Quotes"": ""\""Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis\"""",
         ""Explanation"": ""The rule detects an exploit kit that uses obfuscated Flash actionscript to evade detection.""
     }
 ]","['T1189', 'T1140', 'T1203', 'T1212', 'T1204', 'T1059', 'T1190']","['T1189', 'T1204']","['T1140', 'T1203']","['T1140', 'T1203']",['T1027']
28931,"[
         ""sid"": ""28931"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Drive-by Compromise"",
         ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
         ""Explanation"": ""This rule detects when a user attempts to load a CHM file using a web browser, which could potentially be used as a means to deliver malicious code via a drive-by compromise attack.""
     ][
   {
     ""sid"": ""28931"",
     ""Technique ID"": ""T1118"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule may detect attempts to exploit a vulnerability in Microsoft Internet Explorer that allows remote code execution if a user opens a malicious CHM file.""
   }
 ][
   {
     ""sid"": ""28931"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing."",
     ""Explanation"": ""This rule triggers when a client attempts to load a CHM (Compiled HTML Help) file, which can be used to deliver malicious content to a victim's browser, potentially leading to a drive-by compromise.""
   }
 ]","['T1119', 'T1087', 'T1115', 'T1189', 'T1106', 'T1197', 'T1190']","['T1189', 'T1190']","['T1189', 'T1118']","['T1189', 'T1118']",['T1218']
44689,"{}[
   {
     ""sid"": ""44689"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"",
     ""Explanation"": ""This event is generated when malware attempts to send data to a command and control server using HTTP.""
   },
   {
     ""sid"": ""44689"",
     ""Technique ID"": ""T1001"",
     ""Technique name"": ""Data Obfuscation"",
     ""Quotes"": ""Adversaries may obfuscate command and control traffic to make it more difficult to detect"",
     ""Explanation"": ""The malware may use techniques to obfuscate its communications, making it harder to detect.""
   }
 ][
   {
     ""sid"": ""44689"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel."",
     ""Explanation"": ""The rule indicates activity consistent with malware attempting to exfiltrate data using an HTTP connection.""
   }
 ]","['T1048', 'T1001', 'T1497', 'T1567', 'T1041', 'T1495', 'T1133']","['T1001', 'T1048']","['T1041', 'T1001']","['T1041', 'T1001']",['T1071']
37313,"[
   {
     ""sid"": ""37313"",
     ""Technique ID"": ""T1048"",
     ""Technique Name"": ""Exfiltration Over Alternative Protocol"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel."",
     ""Explanation"": ""`SMTP` is a standard protocol used for email transmission, and this rule monitors for attempts to exfiltrate data using SMTP as an alternative protocol.""
   },
   {
     ""sid"": ""37313"",
     ""Technique ID"": ""T1567"",
     ""Technique Name"": ""Exfiltration Over Web Service"",
     ""Quotes"": ""Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel."",
     ""Explanation"": ""The rule detects attempts to exfiltrate data using an external web service by searching for patterns commonly associated with web service requests.""
   }
 ][
   {
     ""sid"": ""37313"",
     ""Technique ID"": ""T1020"",
     ""Technique name"": ""Automated Exfiltration"",
     ""Quotes"": ""Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection."",
     ""Explanation"": ""This rule detects attempts to exfiltrate data using an external entity (XXE) attack, which is a type of automated exfiltration technique.""
   },
   {
     ""sid"": ""37313"",
     ""Technique ID"": ""T1133"",
     ""Technique name"": ""External Remote Services"",
     ""Quotes"": ""Adversaries may leverage external-facing remote services to initially access and/or persist within a network."",
     ""Explanation"": ""This rule detects attempts to exfiltrate data through an external SMTP server, which could be an indication of an attacker leveraging an external remote service for data exfiltration.""
   }
 ][
   {
     ""sid"": ""37313"",
     ""Technique ID"": ""T1048"",
     ""Technique Name"": ""Exfiltration Over Alternative Protocol"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel."",
     ""Explanation"": ""This rule detects attempts to exfiltrate data using the SMTP protocol, which is an alternative protocol to the usual command and control channel.""
   },
   {
     ""sid"": ""37313"",
     ""Technique ID"": ""T1574"",
     ""Technique Name"": ""Hijack Execution Flow"",
     ""Quotes"": ""Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs."",
     ""Explanation"": ""This rule detects attempts to hijack the execution flow of the SMTP server by exploiting an external entity data exfiltration vulnerability.""
   }
 ]","['T1105', 'T1190', 'T1565', 'T1574', 'T1020', 'T1048', 'T1567', 'T1566', 'T1133', 'T1083', 'T1583']","['T1020', 'T1190']","['T1048', 'T1567', 'T1020', 'T1133', 'T1574']","['T1048', 'T1567']",['T1020']
49529,"[
   {
     ""sid"": ""49529"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
     ""Explanation"": ""This rule detects an attempt to download a file named 'poisoners.NBTNS', which is associated with the Responder tool, commonly used by attackers to poison DNS caches.""
   }
 ][
   {
     ""sid"": ""49529"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
     ""Explanation"": ""This rule detects an attempt to download a file named \""poisoners.NBTNS\"" which is associated with a known malware Command and Control server.""
   }
 ][
     ""sid"": ""49529"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment"",
     ""Explanation"": ""This rule detects attempts to download a file named ""poisoners.NBTNS"", which is associated with the Responder tool, which can be used for DNS poisoning attacks.""
 ]","['T1110', 'T1498', 'T1539', 'T1190', 'T1499', 'T1105', 'T1558', 'T1202', 'T1592', 'T1564']","['T1190', 'T1592']",['T1105'],['T1105'],['T1187']
40811,"[
   {
     ""sid"": ""40811"",
     ""Technique ID"": ""T1498"",
     ""Technique Name"": ""Network Denial of Service"",
     ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users"",
     ""Explanation"": ""This rule looks for attempts to exploit a denial of service vulnerability in NTP servers.""
   }
 ][
   {
     ""sid"": ""40811"",
     ""Technique ID"": ""T1498"",
     ""Technique name"": ""Network Denial of Service"",
     ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users"",
     ""Explanation"": ""This rule triggers on attempts to exploit a denial of service vulnerability in NTP servers by sending packets with a zero-valued origin timestamp.""
   }
 ][
   {
     ""sid"": ""40811"",
     ""Technique ID"": ""T1498"",
     ""Technique name"": ""Network Denial of Service"",
     ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users."",
     ""Explanation"": ""This rule looks for attempts to exploit a denial-of-service vulnerability in NTP servers.""
   }
 ]","['T1498', 'T1499', 'T1495']",[],['T1498'],['T1498'],['T1547']
23985,"[
     ""sid"": ""52700"",
     ""Technique ID"": ""T1203"",
     ""Technique name"": ""Exploitation for Client Execution"",
     ""Quotes"": ""Adversaries may exploit software vulnerabilities in client applications to execute code."",
     ""Explanation"": ""This rule looks for an attempt to exploit a buffer overflow in Apple Quicktime.""
 ][
   {
     ""sid"": ""23985"",
     ""Technique ID"": ""T1203"",
     ""Technique name"": ""Exploitation for Client Execution"",
     ""Quotes"": ""Adversaries may exploit software vulnerabilities in client applications to execute code."",
     ""Explanation"": ""This rule looks for attempts to exploit a buffer overflow vulnerability in the Apple Quicktime plugin.""
   }
 ][
         {
             ""sid"": ""23985"",
             ""Technique ID"": ""T1203"",
             ""Technique name"": ""Exploitation for Client Execution"",
             ""Quotes"": ""Adversaries may exploit software vulnerabilities in client applications to execute code."",
             ""Explanation"": ""This rule looks for attempts to exploit a buffer overflow vulnerability in the Apple Quicktime plugin.""
         }
     ]","['T1189', 'T1200', 'T1203', 'T1190', 'T1212']","['T1189', 'T1190']",['T1203'],['T1203'],['T1176']
60401,"[
   {
     ""sid"": ""23934"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
     ""Explanation"": ""This rule looks for attempts to transfer a web shell to the target system.""
   }
 ][
   {
     ""sid"": ""60401"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""The rule detects an attempt to make a connection to a PHP web shell, which could be used to execute arbitrary commands on the target system and potentially gain unauthorized access.""
   },
   {
     ""sid"": ""60401"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment"",
     ""Explanation"": ""The rule detects an attempt to transfer a PHP web shell to the target system, which could be used to execute arbitrary commands and potentially gain unauthorized access.""
   }
 ][
         ""sid"": ""60401"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Ingress Tool Transfer"",
         ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
         ""Explanation"": ""This rule specifically looks for incoming HTTP traffic containing the string \""?cmd=\"", which is commonly associated with webshells and used by attackers to execute commands on the compromised system.""
     ]","['T1102', 'T1134', 'T1105', 'T1566', 'T1190', 'T1110', 'T1210', 'T1573', 'T1059', 'T1133']","['T1102', 'T1566']","['T1105', 'T1190']","['T1105', 'T1190']",['T1505']
56601,"
 {}
 [
     ""sid"": ""56601"",
     ""Technique ID"": ""T1498"",
     ""Technique name"": ""Staged C2 Communication"",
     ""Quotes"": ""Adversaries may use intermediary hosts and protocols to communicate with a central command and control (C2) infrastructure as a method of avoiding direct detection of the host actually issuing the commands."",
     ""Explanation"": ""Attempts to retrieve malware stagers are typically used in multi-stage malware infections where a dropper or loader is deployed first, followed by the delivery of additional components through an intermediary stage.""
 ][
   {
     ""sid"": ""56601"",
     ""Technique ID"": ""T1132"",
     ""Technique Name"": ""Data Encoding"",
     ""Quotes"": ""Adversaries may encode data to make the content of command and control traffic more difficult to detect."",
     ""Explanation"": ""This rule detects the download of a malicious payload for a backdoor. The payload is encoded as a GIF image and is hidden within a specially crafted HTTP response.""
   },
   {
     ""sid"": ""61279"",
     ""Technique ID"": ""T1134"",
     ""Technique Name"": ""Access Token Manipulation"",
     ""Quotes"": ""Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls."",
     ""Explanation"": ""This rule detects the creation of a new access token. Access tokens are used to represent a user's security context and allow them to access resources on a system. By modifying an access token, an adversary could gain elevated privileges or bypass access controls.""
   }
 ]","['T1105', 'T1132', 'T1003', 'T1078', 'T1189', 'T1056', 'T1562', 'T1574', 'T1134', 'T1566', 'T1133']","['T1189', 'T1003']","['T1498', 'T1132', 'T1134']","['T1498', 'T1505']",['T1043']
50277,"[
   {
     ""sid"": ""50277"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""The rule detects inbound request attempts to the Chopper webshell, which is a publicly known backdoor that allows remote attackers to execute arbitrary commands on a compromised system through an HTTP interface.""
   }
 ][
     ""sid"": ""50277"",
     ""Technique ID"": ""T1133"",
     ""Technique name"": ""External Remote Services"",
     ""Quotes"": ""Adversaries may leverage external-facing remote services to initially access and/or persist within a network."",
     ""Explanation"": ""This rule detects attempts to use the WSMAN protocol to establish communication with a remote host.""
 ][
   {
     ""sid"": ""50277"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
     ""Explanation"": ""The rule indicates an attempt to access a web shell on the target system, which is a common technique used by adversaries to establish a backdoor and transfer malicious tools or payloads.""
   }
 ]","['T1190', 'T1105', 'T1068', 'T1189', 'T1203', 'T1057', 'T1195', 'T1129', 'T1133', 'T1008']","['T1189', 'T1190']","['T1190', 'T1133', 'T1105']","['T1190', 'T1133']",['T1071']
59948,"[
     ""sid"": ""59948"",
     ""Technique ID"": ""T1210"",
     ""Technique name"": ""Exploitation of Remote Services"",
     ""Quotes"": ""Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network"",
     ""Explanation"": ""This rule matches requests that attempt to exploit an OGNL expression injection vulnerability in Atlassian Confluence, which could allow for arbitrary code execution on the server.""
 ]
 {}
 [
   {
     ""sid"": ""59948"",
     ""Technique ID"": ""T1203"",
     ""Technique name"": ""Exploitation for Client Execution"",
     ""Quotes"": ""Adversaries may exploit software vulnerabilities in client applications to execute code"",
     ""Explanation"": ""This rule identifies a client-side attack using OGNL expression injection in Atlassian Confluence, which attempts to execute arbitrary code on the server.""
   }
 ]","['T1190', 'T1203', 'T1210', 'T1211']","['T1190', 'T1203']","['T1210', 'T1203']","['T1210', 'T1203']",['T1190']
30512,"[
         ""sid"": ""30512"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule detects attempts to exploit a vulnerability in OpenSSL's TLSv1.1 heartbeat implementation, which can lead to remote code execution.""
     ][
     ""sid"": ""30512"",
     ""Technique ID"": ""T1484"",
     ""Technique name"": ""Domain Policy Modification"",
     ""Quotes"": ""Adversaries may modify the configuration settings of a domain to evade defenses and/or escalate privileges in domain environments."",
     ""Explanation"": ""This rule detects an attempted use of the SSLv2 Heartbeat extension, which can be exploited to perform a denial-of-service attack on a server.""
 ][
   {
     ""sid"": ""30512"",
     ""Technique ID"": ""T1210"",
     ""Technique name"": ""Exploitation of Remote Services"",
     ""Quotes"": ""\""Exploitation of Remote Services techniques involve exploiting a vulnerability in a remote service or protocol in order to gain unauthorized access to a system\"""",
     ""Explanation"": ""This rule detects and blocks attempts to exploit a vulnerability in OpenSSL's TLSv1.1 heartbeat implementation, which allows an attacker to execute arbitrary code on the server.""
   }
 ]","['T1210', 'T1195', 'T1190', 'T1598', 'T1484']","['T1190', 'T1195']","['T1190', 'T1484', 'T1210']","['T1190', 'T1484']",['T1123']
59092,"[
   {
     ""sid"": ""59092"",
     ""Technique ID"": ""T1105"",
     ""Technique Name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
     ""Explanation"": ""This rule detects attempts to download a generic PHP web shell, which is a tool commonly used by adversaries to gain remote access to a compromised system.""
   }
 ][
     ""sid"": ""59092"",
     ""Technique ID"": ""T1484"",
     ""Technique Name"": ""File and Directory Discovery"",
     ""Quotes"": ""Adversaries may attempt to gather information on file and directory structure of the local machine or removable media."",
     ""Explanation"": ""This rule detects the presence of a PHP-based web shell which may be used for file and directory manipulation, including downloading files from the target system.""
 ][
         ""sid"": ""59092"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Ingress Tool Transfer"",
         ""Quotes"": """"Adversaries may transfer tools or other files from an external system into a compromised environment"""",
         ""Explanation"": """"This rule is related to a download attempt. The attacker is trying to download a web shell, which is a tool that allows remote access and control of a compromised system.""""
     ]","['T1105', 'T1190', 'T1482', 'T1485', 'T1203', 'T1490', 'T1553', 'T1566', 'T1189', 'T1187']","['T1189', 'T1190']","['T1105', 'T1484']","['T1105', 'T1484']",['T1505']
39734,"[
         ""Sid"": ""39734"",
         ""Technique ID"": ""T1492"",
         ""Technique name"": ""Outbound Network Connection"",
         ""Quotes"": ""Adversaries may establish outbound network connections to communicate with external systems, such as command and control servers, to exfiltrate data, or to receive additional instructions."",
         ""Explanation"": ""This rule detects outbound connections to a known malicious domain associated with the Win.Trojan.Xtrat malware, indicating that the infected host is attempting to communicate with a remote server for malicious purposes.""
     ][
         ""sid"": ""39734"",
         ""Technique ID"": ""T1490"",
         ""Technique name"": ""Network Sniffing"",
         ""Quotes"": ""Techniques that involve capturing network traffic to gain access to data. Adversaries may use network sniffing techniques to monitor and compromise systems sending unencrypted data or authentication credentials across a network"",
         ""Explanation"": ""Network sniffing is a technique often used by malware to capture network traffic and extract sensitive information, such as passwords or other credentials, from unencrypted network traffic.""
     ][
         ""sid"": ""39734"",
         ""Technique ID"": ""T1021"",
         ""Technique name"": ""Remote Services"",
         ""Quotes"": ""Adversaries may use Valid Accounts to log into a service that accepts remote connections, such as telnet, SSH, and VNC."",
         ""Explanation"": ""This rule detects outbound connections to a remote HTTP server hosting a plugin for the Xtrat Trojan, indicating the presence of malware attempting to establish a command and control connection.""
     ],
     [
         ""sid"": ""39734"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Ingress Tool Transfer"",
         ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
         ""Explanation"": ""The malware may attempt to download additional tools or components from the remote server to enhance its functionality or persistence.""
     ],
     [
         ""sid"": ""39734"",
         ""Technique ID"": ""T1497"",
         ""Technique name"": ""Virtualization/Sandbox Evasion"",
         ""Quotes"": ""Adversaries may employ various means to detect and avoid virtualization and analysis environments"",
         ""Explanation"": ""Malware often employs techniques to evade detection by virtualization or sandbox environments, which could be used to analyze its behavior.""
     ]","['T1497', 'T1115', 'T1048', 'T1025', 'T1219', 'T1134', 'T1203', 'T1059', 'T1021', 'T1105', 'T1570', 'T1132', 'T1569', 'T1071', 'T1495']","['T1219', 'T1071']","['T1492', 'T1490', 'T1021', 'T1105', 'T1497']","['T1492', 'T1490']",['T1176']
